% Model:              simulacionFerminCarrillo__caso1Acubos.mph
% Version:            COMSOL 5.4.0.225
% Date:               Feb 23 2022, 13:17
% Dimension:          1
% Nodes:              10
% Expressions:        4
% Description:        Temperature, Velocity field, x component, Velocity field, y component, Velocity field, z component
% cln1x                   T (degC)                 u (m/s)                  v (m/s)                  w (m/s)
0.385                     25.96076171379218        -2.0713744154484673E-4   0.0023993702636367943    9.059327074896598E-4
1.155                     23.19626556881576        -0.004280378582721163    0.00212745060851728      0.004733054384099071
1.925                     22.95364183727645        -0.012854535351879283    -0.0012239912865411166   0.007668839970051402
2.695                     30.43625424068665        -0.027098160361038046    -0.004970916228604574    0.009055013555418951
3.4650000000000003        22.344086986283457       -0.036162350113381966    -0.007950802067838192    0.007555668165855692
4.235                     22.707980763292028       -0.04353872691375048     -0.011103094232377132    0.0033174201733136757
5.005                     22.56896901842447        -0.04664750982455346     -0.011949029223527353    -3.210070642205491E-4
5.775                     24.445039145233807       -0.046723560107093005    -0.007007622779109463    -0.008135823300327114
6.545                     25.924889099991333       -0.03963535815597032     0.002712654247643045     -0.023629070485164074
7.3149999999999995        25.75522161959492        -0.012917173215354887    0.008863501935748376     -0.025955945616579858
